name,species,height,weight,hp,attack,defence,sp_attack,sp_defence,speed,type1,type2,ability1,ability2,hidden_ability,pokedex,genus,capture_rate,color,shape,is_baby,is_legendary,is_mythical,generation,egg_group1,egg_group2,is_mega
bulbasaur,bulbasaur,7,69,45,49,49,65,65,45,grass,poison,overgrow,chlorophyll,,1,,45,green,,False,False,False,1,monster,plant,False
ivysaur,ivysaur,10,130,60,62,63,80,80,60,grass,poison,overgrow,chlorophyll,,2,,45,green,,False,False,False,1,monster,plant,False
venusaur,venusaur,20,1000,80,82,83,100,100,80,grass,poison,overgrow,chlorophyll,,3,,45,green,,False,False,False,1,monster,plant,False
venusaur-gmax,venusaur,240,10000,80,82,83,100,100,80,grass,poison,overgrow,chlorophyll,,3,,45,green,,False,False,False,1,monster,plant,False
venusaur-mega,venusaur,24,1555,80,100,123,122,120,80,grass,poison,thick-fat,,,3,,45,green,,False,False,False,1,monster,plant,True
charmander,charmander,6,85,39,52,43,60,50,65,fire,,blaze,solar-power,,4,,45,red,,False,False,False,1,monster,dragon,False
charmeleon,charmeleon,11,190,58,64,58,80,65,80,fire,,blaze,solar-power,,5,,45,red,,False,False,False,1,monster,dragon,False
charizard,charizard,17,905,78,84,78,109,85,100,fire,flying,blaze,solar-power,,6,,45,red,,False,False,False,1,monster,dragon,False
charizard-gmax,charizard,280,10000,78,84,78,109,85,100,fire,flying,blaze,solar-power,,6,,45,red,,False,False,False,1,monster,dragon,False
charizard-mega-x,charizard,17,1105,78,130,111,130,85,100,fire,dragon,tough-claws,,,6,,45,red,,False,False,False,1,monster,dragon,True
charizard-mega-y,charizard,17,1005,78,104,78,159,115,100,fire,flying,drought,,,6,,45,red,,False,False,False,1,monster,dragon,True
squirtle,squirtle,5,90,44,48,65,50,64,43,water,,torrent,rain-dish,,7,,45,blue,,False,False,False,1,monster,water1,False
wartortle,wartortle,10,225,59,63,80,65,80,58,water,,torrent,rain-dish,,8,,45,blue,,False,False,False,1,monster,water1,False
blastoise,blastoise,16,855,79,83,100,85,105,78,water,,torrent,rain-dish,,9,,45,blue,,False,False,False,1,monster,water1,False
blastoise-gmax,blastoise,250,10000,79,83,100,85,105,78,water,,torrent,rain-dish,,9,,45,blue,,False,False,False,1,monster,water1,False
blastoise-mega,blastoise,16,1011,79,103,120,135,115,78,water,,mega-launcher,,,9,,45,blue,,False,False,False,1,monster,water1,True
caterpie,caterpie,3,29,45,30,35,20,20,45,bug,,shield-dust,run-away,,10,,255,green,,False,False,False,1,bug,,False
metapod,metapod,7,99,50,20,55,25,25,30,bug,,shed-skin,,,11,,120,green,,False,False,False,1,bug,,False
butterfree,butterfree,11,320,60,45,50,90,80,70,bug,flying,compound-eyes,tinted-lens,,12,,45,white,,False,False,False,1,bug,,False
butterfree-gmax,butterfree,170,10000,60,45,50,90,80,70,bug,flying,compound-eyes,tinted-lens,,12,,45,white,,False,False,False,1,bug,,False
weedle,weedle,3,32,40,35,30,20,20,50,bug,poison,shield-dust,run-away,,13,,255,brown,,False,False,False,1,bug,,False
kakuna,kakuna,6,100,45,25,50,25,25,35,bug,poison,shed-skin,,,14,,120,yellow,,False,False,False,1,bug,,False
beedrill,beedrill,10,295,65,90,40,45,80,75,bug,poison,swarm,sniper,,15,,45,yellow,,False,False,False,1,bug,,False
beedrill-mega,beedrill,14,405,65,150,40,15,80,145,bug,poison,adaptability,,,15,,45,yellow,,False,False,False,1,bug,,True
pidgey,pidgey,3,18,40,45,40,35,35,56,normal,flying,keen-eye,tangled-feet,big-pecks,16,,255,brown,,False,False,False,1,flying,,False
pidgeotto,pidgeotto,11,300,63,60,55,50,50,71,normal,flying,keen-eye,tangled-feet,big-pecks,17,,120,brown,,False,False,False,1,flying,,False
pidgeot,pidgeot,15,395,83,80,75,70,70,101,normal,flying,keen-eye,tangled-feet,big-pecks,18,,45,brown,,False,False,False,1,flying,,False
pidgeot-mega,pidgeot,22,505,83,80,80,135,80,121,normal,flying,no-guard,,,18,,45,brown,,False,False,False,1,flying,,True
rattata,rattata,3,35,30,56,35,25,35,72,normal,,run-away,guts,hustle,19,,255,purple,,False,False,False,1,ground,,False
rattata-alola,rattata,3,38,30,56,35,25,35,72,dark,normal,gluttony,hustle,thick-fat,19,,255,purple,,False,False,False,1,ground,,False
raticate,raticate,7,185,55,81,60,50,70,97,normal,,run-away,guts,hustle,20,,127,brown,,False,False,False,1,ground,,False
raticate-alola,raticate,7,255,75,71,70,40,80,77,dark,normal,gluttony,hustle,thick-fat,20,,127,brown,,False,False,False,1,ground,,False
raticate-totem-alola,raticate,14,1050,75,71,70,40,80,77,dark,normal,gluttony,hustle,thick-fat,20,,127,brown,,False,False,False,1,ground,,False
spearow,spearow,3,20,40,60,30,31,31,70,normal,flying,keen-eye,sniper,,21,,255,brown,,False,False,False,1,flying,,False
fearow,fearow,12,380,65,90,65,61,61,100,normal,flying,keen-eye,sniper,,22,,90,brown,,False,False,False,1,flying,,False
ekans,ekans,20,69,35,60,44,40,54,55,poison,,intimidate,shed-skin,unnerve,23,,255,purple,,False,False,False,1,ground,dragon,False
arbok,arbok,35,650,60,95,69,65,79,80,poison,,intimidate,shed-skin,unnerve,24,,90,purple,,False,False,False,1,ground,dragon,False
pikachu,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-alola-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-belle,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-cosplay,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-gmax,pikachu,210,10000,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-hoenn-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-kalos-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-libre,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-original-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-partner-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-phd,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-pop-star,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-rock-star,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-sinnoh-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-starter,pikachu,4,60,45,80,50,75,60,120,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-unova-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
pikachu-world-cap,pikachu,4,60,35,55,40,50,50,90,electric,,static,lightning-rod,,25,,190,yellow,,False,False,False,1,ground,fairy,False
raichu,raichu,8,300,60,90,55,90,80,110,electric,,static,lightning-rod,,26,,75,yellow,,False,False,False,1,ground,fairy,False
raichu-alola,raichu,7,210,60,85,50,95,85,110,electric,psychic,surge-surfer,,,26,,75,yellow,,False,False,False,1,ground,fairy,False
sandshrew,sandshrew,6,120,50,75,85,20,30,40,ground,,sand-veil,sand-rush,,27,,255,yellow,,False,False,False,1,ground,,False
sandshrew-alola,sandshrew,7,400,50,75,90,10,35,40,ice,steel,snow-cloak,slush-rush,,27,,255,yellow,,False,False,False,1,ground,,False
sandslash,sandslash,10,295,75,100,110,45,55,65,ground,,sand-veil,sand-rush,,28,,90,yellow,,False,False,False,1,ground,,False
sandslash-alola,sandslash,12,550,75,100,120,25,65,65,ice,steel,snow-cloak,slush-rush,,28,,90,yellow,,False,False,False,1,ground,,False
nidoran-f,nidoran-f,4,70,55,47,52,40,40,41,poison,,poison-point,rivalry,hustle,29,,235,blue,,False,False,False,1,monster,ground,False
nidorina,nidorina,8,200,70,62,67,55,55,56,poison,,poison-point,rivalry,hustle,30,,120,blue,,False,False,False,1,no-eggs,,False
nidoqueen,nidoqueen,13,600,90,92,87,75,85,76,poison,ground,poison-point,rivalry,sheer-force,31,,45,blue,,False,False,False,1,no-eggs,,False
nidoran-m,nidoran-m,5,90,46,57,40,40,40,50,poison,,poison-point,rivalry,hustle,32,,235,purple,,False,False,False,1,monster,ground,False
nidorino,nidorino,9,195,61,72,57,55,55,65,poison,,poison-point,rivalry,hustle,33,,120,purple,,False,False,False,1,monster,ground,False
nidoking,nidoking,14,620,81,102,77,85,75,85,poison,ground,poison-point,rivalry,sheer-force,34,,45,purple,,False,False,False,1,monster,ground,False
clefairy,clefairy,6,75,70,45,48,60,65,35,fairy,,cute-charm,magic-guard,friend-guard,35,,150,pink,,False,False,False,1,fairy,,False
clefable,clefable,13,400,95,70,73,95,90,60,fairy,,cute-charm,magic-guard,unaware,36,,25,pink,,False,False,False,1,fairy,,False
vulpix,vulpix,6,99,38,41,40,50,65,65,fire,,flash-fire,drought,,37,,190,brown,,False,False,False,1,ground,,False
vulpix-alola,vulpix,6,99,38,41,40,50,65,65,ice,,snow-cloak,snow-warning,,37,,190,brown,,False,False,False,1,ground,,False
ninetales,ninetales,11,199,73,76,75,81,100,100,fire,,flash-fire,drought,,38,,75,yellow,,False,False,False,1,ground,,False
ninetales-alola,ninetales,11,199,73,67,75,81,100,109,ice,fairy,snow-cloak,snow-warning,,38,,75,yellow,,False,False,False,1,ground,,False
jigglypuff,jigglypuff,5,55,115,45,20,45,25,20,normal,fairy,cute-charm,competitive,friend-guard,39,,170,pink,,False,False,False,1,fairy,,False
wigglytuff,wigglytuff,10,120,140,70,45,85,50,45,normal,fairy,cute-charm,competitive,frisk,40,,50,pink,,False,False,False,1,fairy,,False
zubat,zubat,8,75,40,45,35,30,40,55,poison,flying,inner-focus,infiltrator,,41,,255,purple,,False,False,False,1,flying,,False
golbat,golbat,16,550,75,80,70,65,75,90,poison,flying,inner-focus,infiltrator,,42,,90,purple,,False,False,False,1,flying,,False
oddish,oddish,5,54,45,50,55,75,65,30,grass,poison,chlorophyll,run-away,,43,,255,blue,,False,False,False,1,plant,,False
gloom,gloom,8,86,60,65,70,85,75,40,grass,poison,chlorophyll,stench,,44,,120,blue,,False,False,False,1,plant,,False
vileplume,vileplume,12,186,75,80,85,110,90,50,grass,poison,chlorophyll,effect-spore,,45,,45,red,,False,False,False,1,plant,,False
paras,paras,3,54,35,70,55,45,55,25,bug,grass,effect-spore,dry-skin,damp,46,,190,red,,False,False,False,1,bug,plant,False
parasect,parasect,10,295,60,95,80,60,80,30,bug,grass,effect-spore,dry-skin,damp,47,,75,red,,False,False,False,1,bug,plant,False
venonat,venonat,10,300,60,55,50,40,55,45,bug,poison,compound-eyes,tinted-lens,run-away,48,,190,purple,,False,False,False,1,bug,,False
venomoth,venomoth,15,125,70,65,60,90,75,90,bug,poison,shield-dust,tinted-lens,wonder-skin,49,,75,purple,,False,False,False,1,bug,,False
diglett,diglett,2,8,10,55,25,35,45,95,ground,,sand-veil,arena-trap,sand-force,50,,255,brown,,False,False,False,1,ground,,False
diglett-alola,diglett,2,10,10,55,30,35,45,90,ground,steel,sand-veil,tangling-hair,sand-force,50,,255,brown,,False,False,False,1,ground,,False
dugtrio,dugtrio,7,333,35,100,50,50,70,120,ground,,sand-veil,arena-trap,sand-force,51,,50,brown,,False,False,False,1,ground,,False
dugtrio-alola,dugtrio,7,666,35,100,60,50,70,110,ground,steel,sand-veil,tangling-hair,sand-force,51,,50,brown,,False,False,False,1,ground,,False
meowth,meowth,4,42,40,45,35,40,40,90,normal,,pickup,technician,unnerve,52,,255,yellow,,False,False,False,1,ground,,False
meowth-alola,meowth,4,42,40,35,35,50,40,90,dark,,pickup,technician,rattled,52,,255,yellow,,False,False,False,1,ground,,False
meowth-galar,meowth,4,75,50,65,55,40,40,40,steel,,pickup,tough-claws,unnerve,52,,255,yellow,,False,False,False,1,ground,,False
meowth-gmax,meowth,330,10000,40,45,35,40,40,90,normal,,pickup,technician,unnerve,52,,255,yellow,,False,False,False,1,ground,,False
